rental	Album	kaosleo
3.50 stars	Adolescents - Adolescents	4.50 stars
3.00 stars	Amen Dunes - Love	3.50 stars
3.50 stars	Ausmuteants - Amusements	3.50 stars
3.50 stars	Ausmuteants - Order of Operation	3.50 stars
3.50 stars	Bauhaus - In the Flat Field	4.00 stars
3.00 stars	Bazooka - Bazooka	4.00 stars
4.00 stars	The Beach Boys - Pet Sounds	5.00 stars
4.00 stars	Beat Happening - Jamboree	4.00 stars
4.00 stars	Beat Happening - You Turn Me On	4.50 stars
3.00 stars	Blank Dogs - Under and Under	4.00 stars
3.50 stars	Blasted Canyons - Blasted Canyons	4.00 stars
4.00 stars	The Books - The Lemon of Pink	3.50 stars
3.50 stars	David Bowie - Station to Station	4.50 stars
3.50 stars	Butthole Surfers - Locust Abortion Technician	4.50 stars
3.00 stars	Nick Cave & The Bad Seeds - Skeleton Tree	4.00 stars
3.50 stars	Chain and the Gang - Best of Crime Rock	3.50 stars
4.00 stars	Cheater Slicks - Reality Is a Grape	3.50 stars
3.50 stars	Civic - Those Who No	4.00 stars
4.00 stars	Coil - Horse Rotorvator	4.50 stars
3.00 stars	Constant Mongrel - Living in Excellence	4.00 stars
3.50 stars	Crystal Stilts - In Love With Oblivion	3.50 stars
4.00 stars	Descendents - Milo Goes to College	4.50 stars
4.00 stars	Destruction Unit - Negative Feedback Resistor	3.50 stars
3.50 stars	Dinosaur Jr. - Beyond	4.00 stars
3.50 stars	Disappears - Pre Language	4.00 stars
3.50 stars	Distorted Pony - Punishment Room	4.00 stars
4.50 stars	The Drones - Wait Long by the River and the Bodies of Your Enemies Will Float By	4.00 stars
4.00 stars	Dum Dum Girls - Only in Dreams	3.00 stars
4.00 stars	The Durutti Column - LC	4.50 stars
3.00 stars	Eagulls - Ullages	3.00 stars
3.50 stars	The Fall - Live at the Witch Trials	4.50 stars
3.50 stars	The Fall - Slates	4.50 stars
3.50 stars	Fontaines D.C. - Dogrel	4.00 stars
3.50 stars	Freak Heat Waves - Bonnie's State of Mind	3.00 stars
3.50 stars	The Fresh & Onlys - Play It Strange	3.50 stars
3.00 stars	Fucked Up - The Chemistry of Common Life	3.50 stars
4.00 stars	Gang of Four - Entertainment!	4.50 stars
3.00 stars	Gentleman Jesse and His Men - Leaving Atlanta	4.00 stars
3.50 stars	Girls - Album	3.00 stars
3.00 stars	Gnod - Chapel Perilous	4.00 stars
3.50 stars	Gonzo - Do It Better Again	3.50 stars
3.00 stars	Anna von Hausswolff - The Miraculous	3.50 stars
3.00 stars	Anna von Hausswolff - Dead Magic	4.00 stars
3.50 stars	Hot Snakes - Jericho Sirens	4.00 stars
4.00 stars	Hüsker Dü - New Day Rising	4.50 stars
4.50 stars	Institute - Subordination	3.50 stars
3.00 stars	Jesu - Jesu	4.00 stars
4.00 stars	KARP - Self Titled LP	4.00 stars
3.50 stars	K-Holes - Dismania	3.00 stars
3.00 stars	Kylesa - Static Tensions	4.00 stars
4.00 stars	Love - Forever Changes	5.00 stars
4.50 stars	Low Life - Dogging	3.50 stars
3.50 stars	Male Gaze - Gale Maze	3.00 stars
3.50 stars	Male Gaze - King Leer	3.50 stars
3.50 stars	Meat Wave - The Incessant	4.00 stars
4.00 stars	Mercury Rev - Yerself Is Steam	4.50 stars
4.00 stars	Milk Music - Beyond Living	3.50 stars
4.50 stars	Milk Music - Mystic 100's	3.50 stars
3.50 stars	Minutemen - Buzz or Howl Under the Influence of Heat	4.50 stars
4.00 stars	The Misfits - Static Age	5.00 stars
4.00 stars	Modest Mouse - This Is a Long Drive for Someone With Nothing to Think About	4.00 stars
3.50 stars	Tony Molina - Kill the Lights	3.50 stars
4.00 stars	John Coltrane - A Love Supreme	5.00 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	5.00 stars
3.50 stars	The Beatles - Sgt. Pepper's Lonely Hearts Club Band	4.50 stars
3.50 stars	The Kinks - Something Else by The Kinks	4.50 stars
4.00 stars	The Kinks - The Kinks Are the Village Green Preservation Society	5.00 stars
4.00 stars	The Velvet Underground - The Velvet Underground	4.50 stars
4.00 stars	Neil Young with Crazy Horse - Everybody Knows This Is Nowhere	5.00 stars
4.00 stars	Captain Beefheart & His Magic Band - Trout Mask Replica	4.50 stars
3.50 stars	Miles Davis - In a Silent Way	4.50 stars
4.00 stars	The Can - Monster Movie	4.50 stars
4.00 stars	The Kinks - Arthur or the Decline and Fall of the British Empire	5.00 stars
3.50 stars	Syd Barrett - The Madcap Laughs	4.50 stars
4.00 stars	Black Sabbath - Paranoid	5.00 stars
3.50 stars	Captain Beefheart & The Magic Band - Lick My Decals Off, Baby	4.00 stars
3.50 stars	Faust - Faust	4.50 stars
4.00 stars	Nick Drake - Pink Moon	5.00 stars
4.00 stars	David Bowie - The Rise and Fall of Ziggy Stardust and the Spiders From Mars	5.00 stars
4.50 stars	Can - Ege bamyası	5.00 stars
3.50 stars	Lou Reed - Transformer	4.50 stars
4.00 stars	Iggy and The Stooges - Raw Power	5.00 stars
4.00 stars	Todd Rundgren - A Wizard, A True Star	4.50 stars
3.50 stars	David Bowie - Aladdin Sane	4.50 stars
3.50 stars	Velvet Underground - 1969 Velvet Underground Live With Lou Reed	4.50 stars
4.00 stars	Eno - Another Green World	5.00 stars
3.50 stars	Chrome - Alien Soundtracks	4.00 stars
3.50 stars	The Congos - Heart of The Congos	4.00 stars
4.00 stars	David Bowie - Low	5.00 stars
4.00 stars	Television - Marquee Moon	5.00 stars
3.50 stars	Iggy Pop - The Idiot	4.50 stars
3.50 stars	The Stranglers - Stranglers IV (Rattus Norvegicus)	4.50 stars
4.00 stars	Talking Heads - Talking Heads: 77	4.50 stars
4.00 stars	Ramones - Rocket to Russia	5.00 stars
4.00 stars	Suicide - Suicide	4.50 stars
4.50 stars	Wire - Pink Flag	5.00 stars
3.50 stars	Brian Eno - Ambient 1: Music for Airports	4.00 stars
4.00 stars	Talking Heads - More Songs About Buildings and Food	5.00 stars
3.50 stars	Wire - Chairs Missing	4.50 stars
4.00 stars	Devo - Q: Are We Not Men? A: We Are Devo!	4.50 stars
3.50 stars	Pere Ubu - Dub Housing	4.50 stars
4.00 stars	Public Image Ltd - Public Image	4.00 stars
4.00 stars	Black Flag - Nervous Breakdown	5.00 stars
