rental	Album	maybeimbatmanjt
3.50 stars	Yapoos - ヤプーズ計画 (Yapoos Keikaku)	3.00 stars
3.50 stars	Adolescents - Adolescents	3.50 stars
3.00 stars	American Football - American Football	3.50 stars
4.00 stars	Antena - Camino del sol	3.50 stars
3.50 stars	Aphex Twin - Selected Ambient Works 85-92	4.00 stars
3.00 stars	Armand Hammer - Paraffin	3.50 stars
3.50 stars	Angelo Badalamenti - Twin Peaks: Limited Event Series Soundtrack	3.50 stars
3.00 stars	The Band - The Band	3.50 stars
3.50 stars	Bark Psychosis - Hex	3.00 stars
3.50 stars	Bauhaus - In the Flat Field	4.00 stars
4.00 stars	The Beach Boys - Pet Sounds	4.50 stars
4.00 stars	Beat Happening - You Turn Me On	3.00 stars
3.50 stars	The Beatles - Abbey Road	4.50 stars
4.00 stars	Belle & Sebastian - Dear Catastrophe Waitress	3.50 stars
3.50 stars	Boards of Canada - Geogaddi	3.00 stars
3.50 stars	David Bowie - Station to Station	4.00 stars
3.50 stars	David Bowie - "Heroes"	4.50 stars
3.00 stars	Brockhampton - Iridescence	2.50 stars
3.00 stars	Tim Buckley - Goodbye and Hello	3.50 stars
4.00 stars	Tim Buckley - Starsailor	4.00 stars
3.50 stars	Kate Bush - Hounds of Love	4.00 stars
4.00 stars	Butthole Surfers - Rembrandt Pussyhorse	3.50 stars
3.50 stars	Butthole Surfers - Locust Abortion Technician	3.50 stars
3.00 stars	Cabaret Voltaire - Red Mecca	3.00 stars
4.00 stars	Can - Soundtracks	4.00 stars
3.00 stars	The Cars - The Cars	3.50 stars
3.50 stars	Frantz Casseus - Haitian Dances	3.50 stars
3.50 stars	A Certain Ratio - To Each...	4.00 stars
3.00 stars	The Church - Starfish	4.00 stars
3.00 stars	Clarence Clarity - Think: Peace	3.00 stars
3.50 stars	Cocteau Twins - Head Over Heels	3.50 stars
3.50 stars	Cocteau Twins - Heaven or Las Vegas	4.00 stars
4.00 stars	Coil - Horse Rotorvator	3.50 stars
4.00 stars	Lloyd Cole and The Commotions - Rattlesnakes	4.00 stars
4.00 stars	Comus - First Utterance	5.00 stars
3.00 stars	Converge - The Dusk in Us	3.50 stars
3.50 stars	Julian Cope - World Shut Your Mouth	3.50 stars
3.00 stars	The Damned - Damned Damned Damned	4.00 stars
3.50 stars	Miles Davis - Get Up With It	4.00 stars
4.00 stars	Richard Dawson - 2020	3.00 stars
3.50 stars	Dead Kennedys - Fresh Fruit for Rotting Vegetables	4.00 stars
3.50 stars	Death Grips - No Love Deep Web	3.50 stars
4.00 stars	Lana Del Rey - Norman Fucking Rockwell!	3.00 stars
4.00 stars	Descendents - Milo Goes to College	3.50 stars
3.50 stars	Dirty Three - Ocean Songs	3.00 stars
3.50 stars	The Doors - The Doors	4.00 stars
3.50 stars	Nick Drake - Five Leaves Left	4.00 stars
4.00 stars	The Durutti Column - LC	3.00 stars
