rental	Album	soldierinthepainting
3.50 stars	Abe Vigoda - Reviver	3.50 stars
4.00 stars	Animal Collective - Fall Be Kind	4.50 stars
3.50 stars	Angelo Badalamenti - Twin Peaks: Limited Event Series Soundtrack	4.50 stars
4.00 stars	William Basinski - The Disintegration Loops	5.00 stars
4.00 stars	The Beach Boys - Pet Sounds	5.00 stars
4.00 stars	Beat Happening - You Turn Me On	4.00 stars
4.00 stars	black midi - Schlagenheim	3.00 stars
3.50 stars	Brockhampton - Iridescence	3.50 stars
4.00 stars	Butthole Surfers - Locust Abortion Technician	3.00 stars
3.00 stars	Nick Cave & The Bad Seeds - Skeleton Tree	3.50 stars
3.50 stars	Chuck Person - Chuck Person's Eccojams Vol. 1	4.50 stars
4.00 stars	Cloud Nothings - Attack on Memory	4.50 stars
4.00 stars	Cocteau Twins - Heaven or Las Vegas	4.00 stars
3.50 stars	Converge - The Dusk in Us	3.50 stars
3.50 stars	Daughters - Daughters	4.50 stars
3.50 stars	Death Grips - Government Plates	2.50 stars
3.50 stars	Deerhunter - Fading Frontier	4.00 stars
4.00 stars	Lana Del Rey - Norman Fucking Rockwell!	4.00 stars
4.00 stars	Descendents - Milo Goes to College	3.50 stars
3.50 stars	Dope Body - Natural History	4.00 stars
3.50 stars	The Drones - Feelin Kinda Free	4.00 stars
3.50 stars	Kevin Drumm - Sheer Hellish Miasma	4.00 stars
3.50 stars	Ensemble Pearl - Ensemble Pearl	3.50 stars
4.00 stars	Fleet Foxes - Crack-Up	3.50 stars
3.50 stars	Fuck Buttons - Tarot Sport	4.50 stars
3.50 stars	Fugazi - Repeater	3.00 stars
3.50 stars	Future - Monster	4.00 stars
4.00 stars	Alex G - Beach Music	3.50 stars
4.00 stars	Philip Glass - Koyaanisqatsi	4.00 stars
3.00 stars	Grimes - Visions	3.00 stars
4.00 stars	Guided by Voices - Alien Lanes	4.50 stars
3.50 stars	Anna von Hausswolff - Dead Magic	3.50 stars
4.00 stars	Tim Hecker - Harmony in Ultraviolet	5.00 stars
3.50 stars	Tim Hecker - Virgins	4.50 stars
3.00 stars	Kero Kero Bonito - Bonito Generation	3.00 stars
4.00 stars	Kendrick Lamar - DAMN.	4.50 stars
3.00 stars	Adrianne Lenker - Abysskiss	4.00 stars
4.00 stars	Les Savy Fav - Inches	4.50 stars
3.50 stars	Low - Things We Lost in the Fire	2.50 stars
3.50 stars	mclusky - The Difference Between Me and You Is That I'm Not on Fire	4.00 stars
4.00 stars	Metallica - Ride the Lightning	3.50 stars
4.00 stars	MGMT - Little Dark Age	3.50 stars
4.00 stars	Modest Mouse - This Is a Long Drive for Someone With Nothing to Think About	5.00 stars
4.00 stars	John Coltrane - A Love Supreme	4.50 stars
3.50 stars	Bob Dylan - Bringing It All Back Home	4.50 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	5.00 stars
4.00 stars	Creedence Clearwater Revival - Cosmo's Factory	4.00 stars
4.00 stars	David Bowie - Hunky Dory	4.50 stars
3.50 stars	Popol Vuh - Hosianna Mantra	2.50 stars
4.00 stars	Milton Nascimento & Lô Borges - Clube da Esquina	3.00 stars
4.00 stars	David Bowie - The Rise and Fall of Ziggy Stardust and the Spiders From Mars	4.00 stars
3.50 stars	Steely Dan - Can't Buy a Thrill	4.00 stars
4.50 stars	Can - Ege Bamyasi	5.00 stars
3.50 stars	Eno - Taking Tiger Mountain (By Strategy)	4.50 stars
4.00 stars	David Bowie - Low	4.00 stars
3.50 stars	Fleetwood Mac - Rumours	4.00 stars
4.00 stars	Talking Heads - Talking Heads: 77	5.00 stars
4.00 stars	Suicide - Suicide	3.00 stars
3.50 stars	Kraftwerk - Die Mensch-Maschine	4.50 stars
4.00 stars	Talking Heads - More Songs About Buildings and Food	5.00 stars
3.50 stars	Blondie - Parallel Lines	4.00 stars
4.00 stars	The Pop Group - Y	3.50 stars
3.50 stars	Talking Heads - Fear of Music	4.50 stars
3.50 stars	Dead Kennedys - Fresh Fruit for Rotting Vegetables	2.50 stars
3.50 stars	The Cure - Faith	4.50 stars
4.00 stars	Glenn Branca - The Ascension	5.00 stars
4.00 stars	Discharge - Hear Nothing See Nothing Say Nothing	3.50 stars
3.50 stars	The Faith / Void - The Faith / Void	3.00 stars
3.50 stars	Dead Kennedys - Plastic Surgery Disasters	3.50 stars
3.50 stars	Sonic-Youth - Confusion Is Sex	3.50 stars
3.50 stars	The Chameleons - Script of the Bridge	4.50 stars
4.00 stars	The Smiths - The Smiths	5.00 stars
4.00 stars	Black Flag - My War	4.50 stars
3.50 stars	Prince and The Revolution - Purple Rain	3.00 stars
3.50 stars	Sonic-Youth - Bad Moon Rising	4.50 stars
